Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2015,2015,2015,2,0,2,Export,144,Sri Lanka,LKA,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,15746261,,,0
S4,2015,2015,2015,2,0,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,2198920446,,,4
S4,2015,2015,2015,2,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,291386467,,,4
S4,2015,2015,2015,2,0,1,Import,156,China,CHN,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,34634265870,,,0
S4,2015,2015,2015,2,0,2,Export,156,China,CHN,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,37533088287,,,0
S4,2015,2015,2015,2,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,1685179932,,,0
S4,2015,2015,2015,2,0,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,122814701,,,0
S4,2015,2015,2015,2,0,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,919362,,,0
S4,2015,2015,2015,2,0,2,Export,174,Comoros,COM,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,104148,,,0
S4,2015,2015,2015,2,0,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,281952895,,,4
S4,2015,2015,2015,2,0,2,Export,178,Congo,COG,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,34718719,,,0
S4,2015,2015,2015,2,0,1,Import,180,Dem. Rep. of the Congo,COD,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,,,584884063,,,4
S4,2015,2015,2015,2,0,2,Export,180,Dem. Rep. of the Congo,COD,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,0,,,,0,,14089991,,,0
S4,2015,2015,2015,2,0,1,Import,188,Costa Rica,CRI,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,320238575,,,0
S4,2015,2015,2015,2,0,2,Export,188,Costa Rica,CRI,0,World,WLD,,,,,,,,72,Machinery specialized for particular industries,1,No Quantity,,,,,,,25066716,,,0
